Cidade;População;Area;Densidade_Recalculada;Total
Águas de São Pedro;2829;3,612;0.7832225914;106
São Caetano do Sul;172109;15,331;11.22620834;9395
Poá;106431;17,264;6.164909639;7748
Jandira;121988;17,449;6.991116969;4393
Taboão da Serra;284274;20,388;13.94320188;18555
Ferraz de Vasconcelos;185622;29,547;6.282262159;13231
Diadema;404118;30,732;13.14974619;42549
Nova Guataporanga;2188;34,158;0.06405527256;25
Carapicuíba;398462;34,546;11.5342442;24556
Várzea Paulista;119576;35,120;3.404783599;3045
Rio Grande da Serra;45317;36,341;1.246993754;903
Vargem Grande Paulista;52103;42,489;1.226270329;1267
Potim;20767;44,643;0.4651793114;308
Lindóia;7147;48,756;0.1465870867;73
Francisco Morato;171107;49,001;3.491908328;6604
Vitória Brasil;1826;49,832;0.03664312089;12
Canas;5049;53,261;0.09479731886;105
Taquaral;2652;53,892;0.04920953017;26
Louveira;54111;55,738;0.9708098604;975
Jumirim;3123;56,685;0.0550939402;31
Canitar;6524;57,459;0.1135418298;72
Águas de Lindóia;18245;60,126;0.3034460965;235
Mauá;429380;61,937;6.932528214;25245
Hortolândia;247331;62,416;3.962621764;9448
Pracinha;2599;63,054;0.04121863799;11
Trabiju;1719;63,421;0.02710458681;16
Osasco;756952;64,954;11.65366259;56449
Holambra;15596;65,577;0.237827287;182
Barueri;330339;65,701;5.027914339;13744
Aspásia;1873;69,373;0.02699897655;3
Embu das Artes;259323;70,398;3.683669991;13732
Cândido Rodrigues;2951;70,892;0.04162669977;18
Torre de Pedra;2063;71,348;0.02891461569;5
Nova Odessa;64228;73,788;0.8704396379;1433
Nova Luzitânia;2838;73,816;0.03844694917;21
Estiva Gerbi;11566;74,144;0.1559937419;215
São Francisco;2629;75,579;0.03478479472;11
Marinópolis;1870;77,827;0.02402765107;3
Dolcinópolis;2250;77,939;0.02886873067;20
União Paulista;1628;79,056;0.02059299737;8
Santa Salete;1686;79,192;0.0212900293;10
Campo Limpo Paulista;79663;79,403;1.003274435;2604
Vinhedo;79235;80,950;0.9788140828;1841
Palmares Paulista;9709;82,125;0.1182222222;57
Itaquaquecetuba;382521;82,622;4.629771732;23179
Itapevi;241924;82,658;2.926806843;9442
Embaúba;2353;83,129;0.02830540485;23
Alumínio;17591;83,619;0.2103708487;310
Parisi;3001;84,737;0.03541546196;34
Alvinlândia;2923;84,879;0.03443725774;20
Guarani d'Oeste;1999;85,700;0.02332555426;17
Areiópolis;10257;85,900;0.1194062864;90
Inúbia Paulista;3671;87,119;0.04213776559;15
Dirce Reis;1641;88,133;0.01861958631;7
Balbinos;3963;91,635;0.04324766738;15
Elisiário;3189;93,980;0.03393275165;26
Santo Expedito;3063;94,465;0.03242470756;27
Vista Alegre do Alto;8327;95,429;0.08725859016;75
Arujá;89943;96,167;0.9352792538;3495
Caieiras;98257;97,642;1.006298519;2545
Igaraçu do Tietê;23430;97,747;0.2397004512;407
Santa Gertrudes;24107;98,291;0.2452615194;358
Ribeirão Pires;118877;98,972;1.201117488;3982
Saltinho;8371;99,738;0.08392989633;100
Fernão;1689;100,504;0.01680530128;14
Monções;1954;104,352;0.01872508433;22
Brejo Alegre;2605;105,689;0.02464778738;30
Taiaçu;5751;107,059;0.05371804332;98
Bom Jesus dos Perdões;22501;108,366;0.2076389273;398
Pirapora do Bom Jesus;18836;108,489;0.1736212888;344
Pedreira;44332;108,817;0.4073995791;617
Engenheiro Coelho;20139;109,941;0.1831800693;276
Santo Antônio do Jardim;6237;109,956;0.05672268908;72
Monte Alegre do Sul;8873;110,308;0.08043840882;50
Bady Bassitt;28909;110,372;0.2619233139;282
Marapoama;3392;111,267;0.03048522922;537
Dumont;9719;111,376;0.08726296509;127
Lourdes;1968;113,940;0.01727224855;13
Iracemápolis;22435;115,118;0.1948869855;384
São João do Pau d'Alho;2288;117,665;0.01944503463;8
Novais;4469;117,772;0.03794620113;31
Alfredo Marcondes;4556;118,915;0.03831308077;26
Borá;928;118,951;0.007801531723;8
Aparecida;33223;120,890;0.2748200844;1590
Rafard;9133;121,645;0.07507912368;89
Boracéia;4823;122,110;0.03949717468;65
Américo Brasiliense;33757;122,958;0.2745409001;585
Nova Canaã Paulista;2058;124,473;0.0165337061;7
Serrana;45408;126,046;0.3602494327;949
Tuiuti;6947;126,731;0.05481689563;81
Cerquilho;46217;127,803;0.3616268789;731
Santópolis do Aguapeí;3933;128,026;0.03072032243;51
Júlio Mesquita;4308;128,183;0.03360820078;32
Indiana;5191;129,367;0.04012615273;27
São João das Duas Pontes;2622;129,462;0.02025304723;18
Roseira;11095;129,847;0.08544671806;231
Santana da Ponte Pensa;1698;129,888;0.01307280118;4
Cajamar;97363;131,386;0.7410454691;3503
Taiúva;6733;132,459;0.05083082312;77
Ariranha;7653;132,624;0.05770448788;60
Franco da Rocha;149786;132,775;1.128118998;5418
Santo Antônio do Pinhal;7294;133,008;0.05483880669;97
Salto;140125;133,057;1.053120091;2020
Bom Sucesso de Itararé;3610;133,578;0.02702540838;48
Mombuca;3815;133,698;0.02853445826;34
Americana;246655;133,912;1.841918573;7908
Santa Ernestina;6256;134,421;0.04654034712;55
Poloni;5696;135,119;0.04215543336;60
Ipiguá;7037;136,028;0.05173199635;54
Cordeirópolis;25130;137,579;0.1826586906;574
Nipoã;4860;137,609;0.03531745743;78
Gabriel Monteiro;2811;138,681;0.02026953945;13
Paulínia;115690;138,777;0.83363958;3435
Itobi;8210;138,986;0.05907069777;54
Itapuí;13984;140,023;0.09986930719;227
Paranapuã;4111;140,354;0.02929022329;35
Severínia;14724;140,460;0.104826997;128
Jaguariúna;61801;141,391;0.4370928843;2777
Sarutaiá;3769;141,608;0.02661572792;30
Jeriquara;3976;141,971;0.02800571948;84
Vargem;10805;142,595;0.07577404537;173
Águas da Prata;7470;142,673;0.0523574888;71
Mongaguá;64519;142,755;0.4519561486;6282
Cubatão;115082;142,879;0.805450766;5406
Guarujá;294973;144,794;2.037190768;20744
Jaci;7878;145,133;0.05428124548;69
Araçariguama;22168;145,204;0.1526679706;629
Taguaí;13006;145,332;0.08949164671;197
Barrinha;33181;146,025;0.2272282143;505
Morungaba;14081;146,752;0.09595099215;150
Uru;1419;146,901;0.009659566647;12
Turmalina;1672;147,797;0.0113128142;10
Sagres;2519;147,935;0.01702774867;7
Santa Cruz da Esperança;2162;148,062;0.01460199106;22
São Vicente;338407;148,151;2.284203279;22527
Ribeirão Corrente;4706;148,332;0.03172612788;29
Catiguá;7105;148,393;0.04787961696;65
Valinhos;131277;148,538;0.883794046;2658
Mesópolis;1988;148,636;0.01337495627;15
Cruzália;2129;149,330;0.01425701467;11
Praia Grande;365577;149,652;2.442847406;31022
Dobrada;8958;149,729;0.05982808941;84
Valentim Gentil;14531;149,741;0.0970408906;194
Bálsamo;9854;149,881;0.06574549142;146
Barra Bonita;35159;150,121;0.2342044084;586
Santa Cruz da Conceição;4365;150,130;0.02907480184;63
Itapecerica da Serra;163928;150,742;1.087473962;10533
Três Fronteiras;7013;151,594;0.0462617254;78
Pedrinhas Paulista;2838;152,309;0.01863317335;19
Barão de Antonina;3618;153,142;0.02362513223;10
Turiúba;1839;153,235;0.01200117467;15
Sumaré;289787;153,465;1.888293748;11314
Álvaro de Carvalho;4896;153,662;0.03186213898;48
Santa Lúcia;7181;153,860;0.04667229949;62
Santo Antônio de Posse;23779;154,133;0.1542758527;360
Pinhalzinho;15605;154,529;0.1009842813;121
Cosmópolis;61204;154,665;0.3957197815;1787
Lupércio;4017;155,171;0.0258875692;20
Paraíso;6211;155,186;0.04002294021;41
Embu-Guaçu;68805;155,641;0.4420750316;2094
Arapeí;2355;156,903;0.01500927325;8
Bilac;7455;158,025;0.04717607973;52
Pedra Bela;6718;158,587;0.04236160593;48
Alambari;6330;159,600;0.03966165414;68
Nova Europa;9459;160,250;0.05902652106;126
Itirapuã;5861;161,118;0.03637706526;75
Rifaina;4158;162,508;0.02558643267;109
Mirassolândia;4771;166,125;0.02871933785;50
Luiziânia;4751;166,576;0.0285215157;37
Santa Mercedes;3012;166,753;0.01806264355;28
Lavrinhas;7328;167,067;0.04386264193;106
Pradópolis;17309;167,378;0.1034126349;248
Sebastianópolis do Sul;3187;167,848;0.01898741719;34
Clementina;7087;168,590;0.04203689424;119
Capela do Alto;23597;169,890;0.1388957561;275
Fernando Prestes;6066;169,990;0.03568445203;46
Iperó;37999;170,289;0.2231441843;494
Bastos;21900;170,912;0.1281361168;210
Salmourão;4883;172,934;0.02823620572;32
Pratânia;5246;175,100;0.02996002284;47
Santo André;778711;175,782;4.429981454;62790
Charqueada;15798;175,846;0.08983997361;199
Piquete;12570;175,996;0.07142207777;187
Cajobi;9232;176,929;0.0521791227;129
Artur Nogueira;53157;178,026;0.298591217;1280
São João de Iracema;1880;178,396;0.01053835288;14
Aparecida d'Oeste;4124;179,004;0.02303859132;35
Santana de Parnaíba;162341;179,949;0.9021500536;2754
Gastão Vidigal;3235;180,569;0.01791558905;37
Conchal;29034;182,793;0.158835404;603
Itaoca;3490;183,015;0.01906947518;24
Nova Castilho;1074;183,396;0.005856180069;4
Pongaí;3443;183,399;0.01877327575;29
Santa Clara d'Oeste;2677;183,458;0.01459189569;34
Votorantim;132849;184,186;0.7212763185;2487
Jambeiro;6575;184,413;0.03565366867;91
Campina do Monte Alegre;6077;184,479;0.03294141881;97
Pindorama;14721;184,825;0.07964831597;156
São Lourenço da Serra;16458;186,456;0.08826747329;453
Mariápolis;3539;186,544;0.01897139549;9
Salto Grande;9212;188,441;0.0488853275;175
Chavantes;12411;188,727;0.06576165572;174
Lucianópolis;2419;189,536;0.01276274692;8
Ipeúna;6999;190,010;0.03683490343;130
Cesário Lange;19588;190,392;0.1028824741;205
Tremembé;53083;191,094;0.2777847551;822
Cássia dos Coqueiros;2855;191,683;0.01489438291;29
Espírito Santo do Turvo;4217;193,666;0.02177460163;59
Mendonça;6369;195,151;0.03263626628;56
Braúna;5466;195,176;0.02800549248;56
Ribeirão dos Índios;2045;196,446;0.01040998544;6
Ilha Comprida;13955;196,567;0.07099360523;963
Timburi;2490;196,790;0.01265308197;18
Cedral;13160;197,838;0.06651907116;201
Óleo;2540;198,938;0.012767797;16
Itupeva;74119;200,876;0.3689788725;1604
Tarabai;6635;201,385;0.03294684311;78
Elias Fausto;18103;202,360;0.08945937932;185
Aramina;5526;202,829;0.02724462478;111
Ribeirão do Sul;4768;203,208;0.02346364316;40
Serra Negra;30920;203,734;0.1517665191;394
Floreal;2756;204,236;0.01349419299;45
Barbosa;5659;205,212;0.02757636006;112
Quadra;3472;205,672;0.01688124781;46
Dourado;8186;205,874;0.03976218464;104
Suzano;318765;206,236;1.545632188;17920
Santa Fé do Sul;36098;206,537;0.1747774007;853
Jarinu;39531;207,549;0.1904658659;783
Urânia;8973;209,262;0.0428792614;92
Pontalinda;4196;209,525;0.02002624985;52
Ipaussu;13933;209,554;0.06648882866;181
Santa Rita d'Oeste;2790;209,800;0.01329837941;8
Ubarana;5456;209,861;0.02599816069;79
Pardinho;7382;209,894;0.0351701335;93
Mairinque;51660;210,149;0.2458255809;840
Adolfo;4478;211,055;0.02121721826;54
Mineiros do Tietê;11349;213,242;0.05322122284;117
Irapuru;7145;214,461;0.03331608078;63
Pirangi;11076;215,809;0.05132316076;162
Mira Estrela;3199;216,825;0.01475383374;60
Pontes Gestal;2415;217,505;0.01110319303;20
Nova Aliança;6858;217,515;0.03152886008;63
Viradouro;17681;217,726;0.08120757282;242
Guaimbê;5606;217,811;0.02573791039;90
Oriente;6180;218,668;0.02826202279;51
Neves Paulista;9921;219,050;0.04529102945;69
Terra Roxa;7985;221,541;0.03604298979;79
Tapiratiba;11936;221,891;0.05379217724;121
Oscar Bressane;2504;222,130;0.01127267816;16
Pereiras;8969;223,136;0.04019521727;92
Divinolândia;11314;223,749;0.05056558912;88
Macatuba;17120;224,514;0.07625359666;170
Flora Rica;1492;224,711;0.006639639359;6
Emilianópolis;3062;225,167;0.01359879556;6
Florínea;3987;225,886;0.01765049627;41
Rio das Pedras;32267;226,657;0.142360483;546
Meridiano;4697;228,199;0.02058291228;29
Ibirarema;6461;228,230;0.02830916181;80
Motuca;4079;228,700;0.01783559248;49
Manduri;10092;229,046;0.04406101831;71
Itaju;3702;230,355;0.01607084717;29
Taquarivaí;7112;231,792;0.03068268102;51
Piacatu;5623;232,488;0.02418619456;58
Monte Castelo;4301;233,547;0.01841599335;36
Queiroz;3351;234,914;0.01426479478;49
Rubiácea;2741;236,484;0.01159063615;15
Cabrália Paulista;4362;239,974;0.01817696917;45
Monte Mor;67296;240,566;0.2797402792;1531
Rubinéia;3965;242,877;0.01632513577;37
Onda Verde;4912;242,946;0.02021848477;59
Mirassol;65485;243,228;0.269232983;1208
Gavião Peixoto;4797;243,766;0.01967870827;51
Bernardino de Campos;11852;244,158;0.04854233734;156
Tupi Paulista;16206;244,770;0.06620909425;128
Porto Ferreira;53940;244,906;0.2202477685;1312
Restinga;6492;245,746;0.02641752053;151
Coroados;5498;246,825;0.02227489112;51
Orindiúva;6145;247,378;0.02484052745;55
Vera Cruz;10294;247,716;0.04155565244;293
Osvaldo Cruz;32099;248,038;0.1294116224;359
Macaubal;7587;248,087;0.03058201357;85
Boituva;63415;248,954;0.2547257726;1926
Queluz;9146;249,399;0.03667215987;283
Murutinga do Sul;3763;250,873;0.01499962132;26
São Sebastião da Grama;10484;252,410;0.04153559685;98
Uchoa;10627;252,434;0.04209813258;86
Guzolândia;4276;252,477;0.01693619617;42
São Bento do Sapucaí;11948;252,579;0.04730401181;102
Santa Maria da Serra;5314;252,621;0.02103546419;79
Américo de Campos;5975;252,876;0.0236281814;59
Caiabu;3745;253,352;0.01478180555;21
Araçoiaba da Serra;33656;255,305;0.1318266387;730
Lagoinha;5182;255,472;0.0202840233;61
Paulistânia;2146;256,178;0.008376987876;12
Irapuã;6946;257,612;0.02696302967;85
Pedranópolis;2848;260,101;0.01094959266;15
Cabreúva;48473;260,234;0.1862669751;645
Regente Feijó;20565;263,313;0.07810096729;191
Monte Azul Paulista;18363;263,463;0.06969859145;218
Duartina;12529;264,557;0.04735841425;127
Arco-Íris;2085;264,904;0.007870775828;12
Estrela do Norte;2749;264,987;0.01037409382;22
Nova Independência;4795;265,029;0.0180923597;50
Porangaba;10773;265,689;0.04054740693;115
Buritizal;4447;266,420;0.01669168981;53
Ouro Verde;7901;266,778;0.02961638516;56
Vargem Grande do Sul;41226;267,178;0.1543016266;758
Guariba;38609;270,289;0.142843401;966
Guararema;32436;270,816;0.1197713577;785
Santa Bárbara d'Oeste;189338;271,030;0.6985868723;3824
Ibirá;11934;271,912;0.04388919945;198
Santa Branca;14212;272,238;0.05220432122;229
Santa Albertina;6543;272,692;0.02399410324;41
Glicério;4173;272,800;0.01529692082;106
Jaborandi;6293;273,438;0.02301435792;51
Itariri;15762;273,667;0.05759554495;234
São José da Bela Vista;7690;276,952;0.02776654438;105
Guaiçara;11459;277,154;0.04134524488;215
Brodowski;26167;278,458;0.09397108361;403
Corumbataí;4285;278,622;0.01537925935;53
Indiaporã;4109;279,606;0.01469567892;51
Salto de Pirapora;45138;280,412;0.1609702866;692
Santos;429567;281,033;1.528528678;25534
